a2ps	4.14	Any-to-PostScriptフィルター
artifactory	4.0.2	バイナリを管理します
ascii	3.15	ASCIIイディオム名と8進数/ 10進数のコードポイント形式を一覧表示します
asciidoc	8.6.9	多数のフォーマットへのテキストファイル用のフォーマッタ/トランスレータ
asciinema	v1.1.1	ターミナルセッションの記録と共有
asciitex	0.21	数学方程式のASCIIアート表現を生成する
asm6	1.6	6502アセンブラ
asn1c	0.9.27.	ASN.1仕様をCソースコードにコンパイルします
aspcud	1.9.1	パッケージ依存関係ソルバー
aspell	0.60.6.1	ispellよりも優れたロジックを備えたスペルチェッカー
assimp	3.1.1	多くの有名な3Dモデル形式をインポートするためのポータブルライブラリ
astyle	2.05.1	C、C++、C＃、およびJava用のソースコードビューティファイア
at-spi2-atk	2.14.1	Accessibility Toolkit GTK+モジュール
at-spi2-core	2.14.1	D-Busat-spiのプロトコル定義とデーモン
atdtool	1.3	After theDeadline言語チェッカーのコマンドラインインターフェイス
aterm	2.8	AfterStepターミナルエミュレータ
atf	0.21	ATF：自動テストフレームワーク
atk	2.18.0	GNOMEアクセシビリティツールキット
atkmm	2.22.7	ATKアクセシビリティツールキットライブラリの公式C++インターフェイス
atomicparsley	0.9.6	MPEG-4コマンドラインツール
atool	0.39.0	アーカイブフロントエンド
ats2-postiats	0.2.3	ATSプログラミング言語の実装
aubio	0.4.2	オーディオ信号から注釈を抽出する
audiofile	0.3.6	多くの一般的なオーディオファイル形式の読み取りと書き込み
augeas	1.4.0	構成編集ツールとAPI
auto-scaling	1.0.61.6	Amazon Auto ScalingWebサービスへのクライアントインターフェイス
autobench	2.1.2	自動ウェブサーバーベンチマークツール
autoconf	2.69	自動構成スクリプトビルダー
autoconf-archive	2015.02.24	500以上の再利用可能なautoconfマクロのコレクション
autoenv	v0.1.0	プロジェクトごと、ディレクトリごとのシェル環境
autogen	5.18.4	自動テキストファイルジェネレータ
autojump	V22.2.4	頻繁に使用するディレクトリにジャンプするシェル拡張
automake	1.15	GNU標準に準拠したMakefileを生成するためのツール
automoc4	0.9.88	Qtmocファイルを生成するためのルールを追加するツール
automysqlbackup	v3.0-rc6	MySQLバックアップを自動化する
autopano-sift-c	2.5.1	重なり合う画像ペアでコントロールポイントを見つける
autopsy	2.24	SleuthKit調査ツールへのグラフィカルインターフェイス
autossh	1.4e	SSHセッションとトンネルを自動的に再起動します
autotrace	0.31.1	ビットマップをベクターグラフィックに変換する
avce00	2.0.0	Arc/Info（バイナリ）ベクターカバレッジをE00として表示する
avian	v1.2.0	Java機能のサブセット用の軽量VMおよびクラスライブラリ
avidemux	2.6.8	カット、フィルタリング、エンコードを行うマルチフォーマットビデオエディタ
aview	1.3.0rc1	ASCIIアート画像ブラウザとアニメーションビューア
avra	1.3.0	AtmelAVRマイクロコントローラーファミリーのアセンブラー
avrdude	6.1	Atmel AVRMCUプログラマー
avro-c	1.7.7	データシリアル化システム
avro-cpp	1.7.7	データシリアル化システム
avro-tools	1.7.7	Avroコマンドラインツールとユーティリティ
awf	v1.3.0	awf（ウィジェットファクトリ）は、gtk2およびgtk3のテーマプレビューアプリケーションです。
aws-cfn-tools	1.0.12	Amazon CloudFormationWebサービスのクライアント
aws-cloudsearch	2-2.0.1.0-2014.10.27	Amazon CloudSearchWebサービスのクライアント
aws-elasticache	1.12.000	Amazon ElastiCacheWebサービスのクライアント
aws-elasticbeanstalk	3.5.4	Amazon Elastic BeanstalkWebサービスのクライアント
aws-sns-cli	2013-09-27	Amazon Simple NotificationWebサービスのクライアント
awscli	1.8.8	公式のAmazonAWSコマンドラインインターフェース
axel	2.4	LightUNIXダウンロードアクセラレータ
b43-fwcutter	019	Braodcom43xxドライバーファイルからファームウェアを抽出します
babeld	1.6.2	ループ回避距離ベクトルルーティングプロトコル
babl	0.1.12	動的な、任意から任意のピクセル形式の変換ライブラリ
backupninja	1.0.1	バックアップ自動化ツール
bacula-fd	7.0.5	ネットワークバックアップソリューション
bagit	4.9.0	バッグの作成、操作、および検証のためのライブラリ
balance	3.57	ソフトウェアロードバランサー
bam	0.4.0	Luaを使用してビルドプロセスを記述するビルドシステム
baobab	3.16.1	Gnomeディスク使用量アナライザー
bar	1.4	シェルスクリプトのプログレスバーを提供する
baresip	0.4.13	モジュラーSIPユーザーエージェント
base64	1.5	base64ファイルのエンコードとデコード
basex	8.3	軽量XMLデータベースとXPath/XQueryプロセッサ
bash	4.4	Bourne-UNIXコマンドインタープリターであるSHell
bash-completion	1.3	プログラム可能なbashの完了
bash-git-prompt	2.3.5	Gitユーザー向けの有益で派手なbashプロンプト
bashdb	4.3-0.91	Bashシェルデバッガー
bashish	2.2.4	テキスト端末のテーマ環境
batik	1.8	SVG画像用のJavaベースのツールキット
bats	v0.4.0	Bashスクリプト用のTAP準拠のテストフレームワーク
bazaar	2.6.0	人に優しいソースコード管理（または「バージョン管理」）
bbcolors	1.0.1	BBEditとTextWranglerの配色を保存してロードします
bbe	0.2.2	バイナリファイル用のsedのようなエディタ
bbftp-client	3.2.1	大きなファイル用に最適化された安全なファイル転送ソフトウェア
bchunk	1.2.0	CDイメージを.bin/.cueから.iso/.cdrに変換します
bcpp	20131209	C（++）美化器
bcrypt	1.1	ブローフィッシュを使用したクロスプラットフォームファイル暗号化ユーティリティ
bdw-gc	7.4.2	CおよびC++用のガベージコレクター
beansdb	v0.6	さらに別の分散型Key-Valueストレージシステム
beanstalk	v1.10	もともとWebの待ち時間を短縮するために設計された汎用ワークキュー
bear	2.0.4	clangツールのコンパイルデータベースを生成する
beecrypt	4.2.1	C/C++暗号化ライブラリ
berkeley-db	6.1.26	高性能のキー/値データベース
berkeley-db4	4.8.30	高性能のキー/値データベース
betty	V0.1.7	コマンドライン用の英語のようなインターフェイス
bfg	1.12.5	git-filter-branchと同じように、Git履歴から大きなファイルやパスワードを削除しますが、より高速です。
bgpdump	1.4.99.15	MRT/Zebra/Quaggaダンプファイルを分析するためのACライブラリ
bgpq3	v0.1.31	CiscoおよびJuniperルーターのbgpフィルタリング自動化
bgrep	0.2	grepと同様ですが、バイナリ文字列用です
bib-tool	2.61	BibTeXデータベースを操作します
bibclean	2.16	BibTeX参考文献ファイルかわいいプリンターと構文チェッカー
bibtex2html	1.98	BibTeXからHTMLへのコンバーター
bibtexconv	1.1.3	BibTeXファイルコンバータ
bibutils	5.6	参考文献変換ユーティリティ
bigdata	1.5.1	RDFデータモデル、Sesame、BlueprintAPIをサポートするグラフデータベース
bigloo	4.1a-2	オブジェクトシステム、C、およびJavaインターフェイスを使用したスキームの実装
bind	9.10.3	DNSプロトコルの実装
binutils	2.25.1	ネイティブ開発のためのFSFBinutils
binwalk	v2.0.1	埋め込みファイルと実行可能コードのバイナリイメージを検索します
bip	0.8.9	IRCプロキシ
bison	3.0.4	パーサジェネレータ
bitchx	1.2.1	BitchXIRCクライアント
bitlbee	3.4.1	他のチャットネットワークゲートウェイへのIRC
bitrise	1.1.2	コマンドライン自動化ツール
bittwist	2.0	Libcapベースのイーサネットパケットジェネレータ
blahtexml	0.9	方程式をMathMLに変換します
blazeblogger	1.2.0	コマンドラインのCMS
blink1	v1.97	コントロール点滅（1）インジケーターライト
blitz	0.10	科学計算用のC++クラスライブラリ
blitzwave	v0.8.0	C++ウェーブレットライブラリ
blockhash	0.1	知覚画像ハッシュ計算ツール
bltool	0.2.1	backloggery.comとのコマンドライン対話のためのツール
blucat	0.9	Bluetooth用のnetcat
blueutil	v1.0.0	Bluetoothパワーと検出可能な状態を取得/設定します
bmake	20150606	NetBSD make（1）のポータブルバージョン
bmon	3.8	インターフェイス帯域幅モニター
bogofilter	1.2.4	統計分析によるメールフィルター
bokken	1.6	PyewおよびRadareプロジェクトのGUI
bonnie++	1.97	ファイルシステムとハードドライブのベンチマークスイート
boost	1_58_0	ポータブルC++ソースライブラリのコレクション
boost-bcp	1_58_0	Boostライブラリのサブセットを抽出するためのユーティリティ
boost-build	2014.10	C++ビルドシステム
boost-python	1_58_0	C++/Pythonの相互運用性のためのC++ライブラリ
boot-clj	2.2.0	Clojure用のツールを構築する
boot2docker	v1.8.0	Docker用の軽量Linux
botan	1.10.10	C++の暗号化アルゴリズムとフォーマットライブラリ
box2d	v2.3.1	ゲーム用の2D物理エンジン
boxes	v1.1.2	テキストの周りにボックスを描画します
bpm-tools	0.3	1分あたりの拍数（BPM）を使用してオーディオファイルのテンポを検出する
brag	1.4.3	ニュースグループからマルチパートバイナリをダウンロードして組み立てます
brew-gem	v0.5.2	自作式としてrubygemsをインストールする
brew-pip	0.4.1	自作式としてpipパッケージをインストールする
briss	0.9	PDFファイルを切り抜く
bro	2.4	ネットワークセキュリティモニター
browser	7	HTMLをブラウザにパイプする
bsdconv	11.3.1	文字セット/エンコーディングコンバータライブラリ
bsdiff	4.3	パッチを生成してバイナリファイルに適用します
bsdmake	24	BSD make（ビルドツール）
bsdsfv	1.18	SFVユーティリティツール
bsponmpi	0.3	MPIの上にBSPlib標準を実装します
btparse	0.34	BibTeXユーティリティライブラリ
btpd	0.16	BitTorrentプロトコルデーモン
buildapp	1.5.5	SBCLで実行可能ファイルを作成します
bulk_extractor	1.5.5	ストリームベースのフォレンジックツール
bullet	2.83.6	物理SDK
bup	0.27	バックアップツール
burl	1.0.1	curl（1）の便利なショートカットを提供するシェルスクリプトラッパー
burp	1.4.28	ネットワークのバックアップと復元
bvi	1.4.0	Viのようなバイナリファイル（16進）エディタ
bwctl	1.5.4	ネットワーク測定ツール用のコマンドラインツールとデーモン
bwm-ng	0.6.1	コンソールベースのライブネットワークおよびディスクI/O帯域幅モニター
byacc	20141128	（おそらく）最高のyaccバリアント
byobu	5.94	テキストベースのウィンドウマネージャーとターミナルマルチプレクサ
bzr-fastimport	0.13.0	リビジョン管理を高速にロードするためのBazaarプラグイン
c-ares	1.10.0	非同期DNSライブラリ
c-kermit	9.0.302	UNIXおよびVMS用のスクリプト可能なネットワークおよびシリアル通信
cabal-install	1.22.6.0	CabalおよびHackageのコマンドラインインターフェイス
cabextract	1.6	Microsoftキャビネットファイルからファイルを抽出する
cabocha	0.69	さらに別の日本の依存関係構造アナライザー
cadaver	0.23.3	DAV用のコマンドラインクライアント
caddy	v0.7.5	代替の汎用HTTP/2Webサーバー
cadubi	1.3	クリエイティブASCII描画ユーティリティ
caf	0.14.2	C++用のアクターモデルの実装
cairo	1.14.8	クロスデバイス出力をサポートするベクターグラフィックライブラリ
cairomm	1.11.2	クロスデバイス出力をサポートするベクターグラフィックライブラリ
cake	v0.5.4	Cake（C＃Make）は、C＃DSLを使用したビルド自動化システムです。
calabash	1.1.4-96	XProc（XMLパイプライン言語）の実装
calc	2.12.5.0	任意精度計算機
calcurse	4.0.0	テキストベースの手帳
camellia	2.7.0	Cで書かれた画像処理とコンピュータビジョンライブラリ
camlistore	0.8	コンテンツアドレス指定可能なマルチレイヤーインデックス付きストレージ
camlp4	4.02+6	OCamlで拡張可能なパーサーを書くためのツール
camlp5	6.14	Camlp5はOCamlのプリプロセッサとプリティプリンタです
capnp	0.5.3	データ交換フォーマットと機能ベースのRPCシステム
capstone	3.0.4	マルチプラットフォーム、マルチアーキテクチャの分解フレームワーク
carthage	0.8	Cocoaの分散型依存関係マネージャー
cask	v0.7.2	Emacsの依存関係管理
casperjs	1.0.4	PhantomJS用のナビゲーションスクリプトおよびテストツール
cassandra	2.2.0	結果整合性のある分散型Key-Valueストア
cattle	1.2.0	Brainfuck言語ツールキット
caudec	1.7.5	ある形式から別の形式への秘密のオーディオファイル
cayley	v0.4.1	FreebaseとKnowledgeGraphに触発されたグラフデータベース
cbmbasic	1.0	スクリプト言語としてのコモドールBASICV2
cc65	2.13.3	6502Cコンパイラ
ccache	3.2.3	オブジェクトファイルキャッシングコンパイララッパー
ccal	2.5.3	印刷または閲覧用の中国のカレンダーを作成する
ccat	v1.0.0	catと似ていますが、構文が強調表示されたコンテンツを表示します
ccd2iso	0.3	CloneCD画像をISO画像に変換する
ccextractor	0.75	無料のGPLライセンスのクローズドキャプションツール
cclive	0.7.16	コマンドラインビデオ抽出ユーティリティ
ccm	2.0.3	ローカルホストでApacheCassandraクラスターを作成して破棄します
cconv	0.6.2	Iconvベースの簡体字-繁体字中国語変換ツール
ccrypt	1.10	ファイルとストリームの暗号化と復号化
cctools	855	Apple用のバイナリおよびクロスコンパイルツール
cctools-headers	855	cctools-Apple経由のヘッダー
ccze	0.2.1	堅牢でモジュール式のログカラーライザー
cd-discid	1.4	CDを読み取り、CDDBディスク情報を取得します
cdargs	1.35	シェルのブックマーク
cdb	0.75	定数データベースの作成と読み取り
cdecl	2.5	英語のフレーズをCまたはC++宣言に変える
cdk	5.0.20141106	Curses開発キットは、アプリ用の事前定義されたcursesウィジェットを提供します
cdlabelgen	4.3.0	CD/DVDインサートと封筒
cdparanoia	10.2	CDをサンプリングするためのオーディオ抽出ツール
cdpr	2.4	Cisco Discovery Protocol Reporter
cdrdao	1.2.3	Disk-At-OnceモードでCDを録音する
cdrtools	3.01	CD/DVD/Blu-rayプリマスタリングおよびレコーディングソフトウェア
center-im	4.22.10	テキストモードのマルチプロトコルインスタントメッセージングクライアント
cereal	v1.1.2	シリアル化用のC++ 11ライブラリ
ceylon	1_1_0	チームで大規模なプログラムを作成するためのプログラミング言語
cf	1.2.5	数値のタイムスタンプをフォーマットされた日時に置き換えるためのフィルター
cfengine	3.7.0	ITインフラストラクチャの管理と理解を支援する
cfitsio	3.370	オプションのFortranラッパーを使用したFITSデータファイルへのCアクセス
cflow	1.4	Cコードからコールグラフを生成する
cfr-decompiler	0_102	さらに別のJavaデコンパイラ。
cfv	1.18.3	さまざまなファイル（.sfv、.csv、.crc。、。torrentなど）をテストして作成します
cgal	4.6.3	CGAL：計算幾何学アルゴリズムライブラリ
cgdb	0.6.8	GNUデバッガーへのCursesベースのインターフェース
cgrep	v6.4.12	ソースコードのコンテキストアウェアgrep
cgvg	1.6.3	コマンドラインソースブラウジングツール
chadwick	0.6.4	RetrosheetMLBの実況ファイルを解析するためのChadwickツール。
chapel	1.11.0	並列コンピューティング用に設計された新しいプログラミング言語
charm-tools	1.7.0	ジュジュチャームを作成および維持するためのツール
chcase	2.0	Perlファイルの名前変更スクリプト
cheat	2.1.14	* nixコマンドのインタラクティブチートシートを作成して表示する
check	0.10.0	Cユニットテストフレームワーク
check_postgres	2.22.0	Postgresデータベースを監視する
checkbashisms	2.15.8	シェルスクリプトのバシズムをチェックします
checkstyle	6.9	Javaソースをコーディング標準と照合します
cherokee	1.2.103	CherokeeWebサーバー
chgems	v0.3.2	Rubygemsのchroot
chibi-scheme	0.7.3	C拡張言語として使用するための小さなフットプリントスキーム
chicken	4.10.0	Schemeプログラミング言語用のコンパイラ
chinadns-c	1.3.2	ChinaDNSからCへのポート：中国のDNSの不規則性を修正
chipmunk	7.0.1	Cで記述された2D剛体物理ライブラリ
chisel	1.2.0	iOSアプリのデバッグを支援するLLDBコマンドのコレクション
chkrootkit	0.50	ルートキット検出器
chmlib	0.40	Microsoft ITSS/CHMファイルを処理するためのライブラリ
chordii	4.5.1	テキストファイルから楽譜へのコンバーター
chromaprint	1.2	AcoustIDプロジェクトのコアコンポーネント（オーディオフィンガープリント）
chrome-cli	1.5.0	コマンドラインからGoogleChromeを制御する
chromedriver	2.19	多くのブラウザでWebアプリを自動テストするためのツール
chruby	v0.3.9	Ruby環境ツール
chruby-fish	v0.6.0	魚の殻で動作するようにchrubyの周りの薄いラッパー
chuck	1.3.5.1	並行したオンザフライのオーディオプログラミング言語
cidrmerge	1.5.3	ホワイトリストとマージするCIDR（ネットワーク除外）
cifer	1.2.0	Cでの古典的な暗号クラッキングの自動化に取り組む
cig	v0.1.5	gitリポジトリの状態をチェックするためのCLIアプリ
cimg	1.6.3	画像処理用のC++ツールキット
cityhash	1.1.1	文字列のハッシュ関数
cjdns	v16.1	暗号化アドレス指定を備えた高度なメッシュルーティングシステム
cksfv	1.3.14	ファイル検証ユーティリティ
clamav	0.98.7	ウイルス対策ソフト
clamz	0.5	AmazonのミュージックストアからMP3ファイルをダウンロードする
clang-format	2015-07-31	C、C++、Obj-C、Java、JavaScript、TypeScriptフォーマットツールおよびエディタープラグイン
clang-omp	2015-04-01	Clang/LLVMコンパイラーのOpenMPC/C++言語拡張
clasp	3.1.3	（拡張された）通常の論理プログラムの回答セットソルバー
class-dump	3.5	Mach-OファイルのObjective-Cセグメントを調べるためのユーティリティ
classads	1.0.10	求人広告（HTCondor Central Managerが使用）
clean	3.4	正規表現に一致するファイルを検索して削除します
clearlooks-phenix	6.0.3	ClearlooksテーマのGTK+ 3ポート
clens	0_7_0	OpenBSDから他のオペレーティングシステムへのコードの移植を支援するライブラリ
cless	0.3.0.0	色付きの構文を強調表示してファイルの内容を表示する
clhep	2.2.0.8	高エネルギー物理学のためのクラスライブラリ
clib	1.4.2	Cプログラミングのパッケージマネージャー
cliclick	3.1	エミュレートされたマウスクリックを自動化するためのツール
clipper	0.2	OSXクリップボードをtmuxやその他のローカルおよびリモートアプリと共有する
clipsafe	1.1	パスワードセーフへのコマンドラインインターフェイス
clisp	2.49	GNU CLISP、CommonLispの実装
cln	1.3.4	CLN：数値のクラスライブラリ
cloc	1.64	コードの行をカウントする統計ユーティリティ
clockywock	0.3.1a	Ncursesアナログ時計
clojurescript	1.7.48	JSコンパイラへのClojure
cloog	0.18.3	Z多面体をスキャンするためのコードを生成する
cloog-ppl015	0.15.11	
cloog018	0.18.0	Z多面体をスキャンするためのコードを生成する
closure-compiler	v20150901	JavaScript最適化コンパイラ
closure-linter	v2.3.19	JavaScriptファイルでスタイルとドキュメントを確認してください
cloud-watch	1.0.20.0	AmazonCloudWatchコマンドラインツール
cloudbees-sdk	1.5.2	CloudBeesプラットフォームを利用するためのコマンドラインツール
clozure-cl	1.10	長い歴史を持つCommonLispの実装
clpbar	1.11.1	コマンドラインプログレスバー
clucene	2.3.3.4	LuceneのC++ポート：高性能でフル機能のテキスト検索エンジン
clutter	1.24.0	一般的な高レベルのキャンバスライブラリ
clutter-gst	3.0.10	ビデオとオーディオにGStreamerを使用したClutterMediaインターフェース
clutter-gtk	1.6.4	Clutter用のGTK+統合ライブラリ
cmake	3.6.3	クロスプラットフォーム製
cmatrix	1.2a	コンソールマトリックス
cmigemo	20110227	Migemoは、ローマ字による日本語のインクリメンタルサーチをサポートするツールです。
cmocka	1.0.1	Cのユニットテストフレームワーク
cmockery	0.1.2	C用のユニットテストとモックライブラリ
cmockery2	v1.3.9	Googleからcmockeryユニットテストフレームワークを復活させる
cmu-pocketsphinx	0.8	モバイルデバイス用の軽量音声認識エンジン
cmu-sphinxbase	0.8	モバイルデバイス用の軽量音声認識エンジン
cmuclmtk	0.7	言語モデルツール（CMU Sphinxから）
cmus	v2.7.1	ncursesベースのインターフェースを備えた音楽プレーヤー
cntlm	0.92.3	トンネリングを使用したNTLM認証プロキシ
coccinelle	1.0.0-rc21	Cコード用のプログラムマッチングおよび変換エンジン
cocot	1.1-20120313	ttyのコードコンバーター
coda-cli	v1.0.5	パニックのコーダのためのシェル統合
codequery	v0.16.0	C、C++、Java、Python、Ruby、またはGoコードのインデックス作成、クエリ、または検索
cogl	1.22.0	Clutter用に開発された低レベルのOpenGL抽象化ライブラリ
coin	3.1.3	3Dグラフィックス開発用の保持モードツールキット
collada-dom	2.4.0	COLLADAデータをロードおよび保存するためのC++ライブラリ
collectd	5.5.0	統計収集および監視デーモン
colordiff	1.0.15	色で強調表示されたdiff（1）出力
colormake	0.9.20140503	出力を色付けするためのラッパー
colorsvn	0.3.3	Subversion出力カラーライザー
colortail	0.3.4	tail（1）と同様ですが、指定された出力に対してさまざまな色が使用されます
commonmark	0.22.0	強く指定された、互換性の高いMarkdownの実装
compcert	v2.5	CompCertC検証済みコンパイラ
compface	1.5.2	X-Face形式との間で変換
concurrencykit	0.4.5	並行システムの設計と実装を支援する
confuse	2.7	Cで記述された構成ファイルパーサーライブラリ
conserver	8.2.1	複数のユーザーが同時にシリアルコンソールを視聴できるようにします
consul	v0.5.2	サービスの検出、監視、および構成のためのツール
contacts	1.1a-3	OS Xの連絡先（以前の「アドレス帳」）にアクセスするためのコマンドラインツール
convertlit	1.8	MicrosoftReader形式の電子書籍をオープン形式に変換する
convmv	2.0	ファイル名エンコーディング変換ツール
cookiecutter	1.0.0	テンプレートからプロジェクトを作成するユーティリティ
coq	8.4pl6	高階述語論理の証明アシスタント
corelocationcli	2.0.0	CoreLocationから位置情報を出力します
coreutils	8.30	GNUファイル、シェル、およびテキストユーティリティ
corkscrew	2.0	HTTPプロキシを介してSSHをトンネリングする
couchdb	1.6.1	CouchDBはドキュメントデータベースサーバーです
